,ISOCode,Country.Name,Uncertainty.Bounds*,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019
1,AFG,Afghanistan,Median,"18,2802","16,8621","15,6011","14,4768","13,4737","12,6329","11,8688","11,2506","10,7625","10,3673","10,0655","9,8275","9,5939","9,4197","9,4241","9,5569","9,7827","10,0433","10,2336","10,1912","9,8258","9,219","8,4528","7,5903","6,7017","5,9133","5,297","4,8694","4,5553","4,2996"
4,ALB,Albania,Median,"6,3297","5,947","5,5876","5,2593","4,9643","4,7066","4,4889","5,0683","4,1522","4,0175","3,8986","3,7872","3,6779","3,5719","3,4636","3,3545","3,2428","3,1339","3,0264","2,9196","2,8168","2,7147","2,6169","2,5211","2,4274","2,3373","2,2504","2,1666","2,0836","2,0051"
7,DZA,Algeria,Median,"9,0951","8,8085","8,5326","8,271","8,7567","8,8031","7,4879","8,2005","7,969","6,6711","6,3806","6,0855","5,799","6,375","5,2962","5,0893","4,9086","4,7462","4,5879","4,4312","4,2757","4,125","3,9806","3,8446","3,7218","3,6164","3,5337","3,4667","3,4079","3,347"
10,AND,Andorra,Median,"2,7212","2,5937","2,4854","2,3807","2,2794","2,1813","2,092","2,0002","1,9164","1,8382","1,7622","1,6901","1,6268","1,558","1,4999","1,4409","1,3819","1,3283","1,2695","1,2148","1,1635","1,1104","1,0624","1,0167","0,9739","0,9353","0,9008","0,8678","0,8383","0,8118"
13,AGO,Angola,Median,"46,8889","46,868","46,8737","57,1623","46,8387","46,6924","46,3818","45,8334","45,1317","44,2508","43,1723","41,9345","40,5353","38,9696","37,2053","35,3519","33,4213","31,4985","29,5537","27,7334","26,01","24,3541","22,8325","21,4971","20,319","19,3124","18,4729","17,7162","17,0933","16,462"
16,ATG,Antigua and Barbuda,Median,"2,7414","2,7789","2,823","2,8697","2,913","2,9515","2,9788","2,9906","2,9846","2,9631","2,929","2,8785","2,8181","2,751","2,6774","2,6001","2,521","2,4401","2,3594","2,2796","2,2007","2,1228","2,0487","1,977","1,9129","1,8557","1,8029","1,7539","1,71","1,6694"
19,ARG,Argentina,Median,"3,422","3,3671","3,3003","3,2176","3,1318","3,0533","2,9876","2,936","2,8956","2,854","2,8007","2,7447","2,7028","2,6867","2,6961","2,7247","2,756","2,7619","2,7273","2,6544","2,556","2,4487","2,3509","2,2705","2,2084","2,1591","2,1078","2,0367","1,9389","1,8403"
22,ARM,Armenia,Median,"3,3129","3,0439","2,808","2,9929","2,4368","2,292","2,1709","2,0696","1,9879","1,9241","1,8778","1,8461","1,8299","1,8261","1,8326","1,8481","1,8696","1,8967","1,9265","1,9559","1,9825","2,004","2,0188","2,0273","2,0275","2,021","2,0083","1,9913","1,9704","1,9449"
25,AUS,Australia,Median,"1,8935","1,8322","1,7764","1,7238","1,6722","1,6189","1,5638","1,5073","1,4496","1,3921","1,3364","1,2832","1,2323","1,1854","1,1434","1,1066","1,0751","1,0485","1,026","1,0067","0,9878","0,9693","0,9498","0,9296","0,9078","0,8852","0,8609","0,8358","0,8115","0,7879"
28,AUT,Austria,Median,"1,8062","1,7487","1,6929","1,6382","1,5846","1,5323","1,4807","1,431","1,3831","1,3379","1,295","1,2541","1,2157","1,179","1,1441","1,1108","1,0793","1,0491","1,0207","0,9935","0,9683","0,9442","0,9206","0,8976","0,875","0,8522","0,8297","0,8073","0,786","0,7651"
